record_id,near_duplicate_group_id,direct_perceptual_label_conflict,direct_benchmark_match,minimum_direct_distance
rec_087e91f3c4cc4f3299d2,near_d2c3a286e038e222366c,false,false,4
rec_0880f69ed21074c2484f,near_c4e745120f1147cc857e,false,false,0
rec_0885b7f8d1bf185ec5e3,near_40d8dab29f695b031be5,false,false,1
rec_088cde4c55940ea77fb1,near_67986aba7fbdd65cff1e,false,false,4
rec_088f67b5fc51b645dc27,near_2791da3a50be06fd2718,true,false,0
rec_0890bf94b7db1d5f760a,near_eaf190be805ff1526bd2,false,false,0
rec_0892600f1789a70abf29,near_2791da3a50be06fd2718,true,false,0
rec_08978c8bd569b36ea4f2,near_1147cfdd2cdddf12bc02,false,false,0
rec_08990a32ab091dd5b7d9,near_ac1b7e3bacb9c6c7804a,false,false,4
rec_089980f2dbe0a322f367,near_af08b5966d1f2488ef41,false,false,0
rec_08a5525920253706b7eb,near_2791da3a50be06fd2718,true,false,2
rec_08aab69147b151f273c2,near_2791da3a50be06fd2718,true,false,0
rec_08b0e2474c2139373d0d,near_2791da3a50be06fd2718,true,false,1
rec_08b3a1cc16c27912f78a,near_868963a504268c1b9ad9,false,false,0
rec_08b9cdcb8b19b832c7a4,near_2791da3a50be06fd2718,true,false,0
rec_08bad35d9bdf640fa724,near_2791da3a50be06fd2718,true,false,0
rec_08cf2560c79888277838,near_781558ec88c782c6ac6f,false,false,0
rec_08e0b458af9f682da41e,near_2791da3a50be06fd2718,true,false,0
rec_08f5199ac66485645996,near_b283a9a81a3bb884cb3e,false,false,0
rec_08ff15165091a5d72539,near_1b33bc82d882d2935787,false,false,0
rec_090026a9f752f245e202,near_2791da3a50be06fd2718,true,false,0
rec_0905b2ec74c7be993372,near_2791da3a50be06fd2718,true,false,0
rec_0906723cd81f96816d4f,near_2791da3a50be06fd2718,true,false,0
rec_090c19c11c2977439911,near_2791da3a50be06fd2718,true,false,0
rec_091b75a9e674fb039e47,near_05016039f909ddf2709a,false,false,2
rec_092258d4ba42b4eae356,near_649838347a18b06c6c5d,false,false,3
rec_09269be65408786e0b32,near_7199b0584a02c91eb5b8,false,false,3
rec_0927952925753d843567,near_d0a4a5f4330597adeee2,true,false,4
rec_092ef6487a7d83204921,near_47f84dfd764df2fd2e66,false,false,1
rec_093b8fcdbc79762f4a17,near_965cc05fd30d6a505a20,false,false,2
rec_094500f92a8c3f35a589,near_c35304a54f7dafe29152,false,false,0
rec_095b43da8d5e6743961b,near_b72b7baf4a508dac192b,false,false,0
rec_095c1d583bb057797f51,near_ec7e090f279a37957919,false,false,0
rec_095e021b3d86f17ff472,near_71776aa806ca4da4b4ef,false,false,3
rec_095f7574cecdb1a16a90,near_47bfdc4259b85bee60a9,false,false,0
rec_09659c86e61d874c1dd5,near_2791da3a50be06fd2718,true,false,0
rec_09669e966886289fc7c2,near_2791da3a50be06fd2718,true,false,0
rec_0969fd16ba82fe5b8f41,near_9d0515e1c2f3f12f4942,false,false,4
rec_096deda2dff2e8ca3b43,near_2791da3a50be06fd2718,true,false,1
rec_09751e378b5fae5e8a9d,near_2791da3a50be06fd2718,true,false,0
rec_09a2ddd24481dc72642b,near_554403a6e6c7a70ec5a8,false,false,0
rec_09b78a01d072309f0294,near_534d9df97db5931e9614,false,false,0
rec_09d95523a0a62a31d4d6,near_c991700197b249ee6932,false,false,0
rec_09dc789404785b005219,near_2791da3a50be06fd2718,true,false,1
rec_09eb7336e132bfc78e08,near_2791da3a50be06fd2718,true,false,1
rec_09f1bc4fd370f78acfca,near_2791da3a50be06fd2718,true,false,0
rec_09f9e3657beb058253b2,near_2791da3a50be06fd2718,true,false,1
rec_0a071c9ee84507108cd7,near_343bac7a0455ab3d139f,false,false,3
rec_0a0e2e21187d6080adf5,near_32c2721a7965b915fc5e,false,false,0
rec_0a198455c06f22b5a452,near_2791da3a50be06fd2718,true,false,3
rec_0a2aa11564f53ee8e024,near_c5077ba897051f8d72a3,false,false,0
rec_0a2bc7fd1a3940ac0b2e,near_2791da3a50be06fd2718,true,false,1
rec_0a2df3e9acb5700cb181,near_2791da3a50be06fd2718,true,false,0
rec_0a2e21bc50625cbff36a,near_36b17442b09f928da9a8,false,false,0
rec_0a3927bdffa5e2b7dbf3,near_8732a35d9fb0b3f2d250,false,false,3
rec_0a405617c65685a074fd,near_9b41da1d0d27b6a8d79e,false,false,1
rec_0a597a433dcbcce7aeab,near_80f7eb0f6d94d22d1bb8,false,false,3
rec_0a5ee747177bbc87ef20,near_e614dd14e42e4f4b34e5,false,false,0
rec_0a5f0d6c1161c588a2ba,near_0049e4f9eb1bc1c26c6b,false,false,0
rec_0a68b34a506e28f099d3,near_cbd680d774514c8fa655,false,false,3
rec_0a6eba75fa1b84cd3470,near_2791da3a50be06fd2718,true,false,1
rec_0a76e727acb1ca1e064c,near_2791da3a50be06fd2718,true,false,0
rec_0a7768a750588475a197,near_efd1482ecd089784fa4b,false,false,0
rec_0a77d03c60390e219895,near_301d48728324d3e7ebb7,false,false,2
